,0,1
963,2,10
2175,14,3
7298,26,2
4919,16,8
483,15,3
8618,21,3
8931,24,10
8597,17,1
2935,29,12
17041,19,10
6094,9,9
14132,6,2
12640,31,5
13072,1,11
6098,14,3
17586,25,7
8089,4,11
9183,30,9
6861,25,7
8547,14,5
7800,18,9
8024,5,9
2925,30,8
3004,21,2
2850,17,9
867,21,2
21275,27,1
14360,7,10
15047,23,2
5700,26,11
15033,17,7
12212,23,5
17815,29,12
14133,1,10
14167,6,9
5554,14,8
17623,23,7
1626,28,1
30505,10,1
20989,23,10
17415,13,11
11525,28,12
9684,26,9
7119,6,2
15981,3,1
596,15,1
5815,26,6
589,12,11
608,10,8
8610,6,12
8544,16,9
7671,19,8
6836,5,4
6842,21,2
287,11,12
6844,11,8
5381,29,5
5318,9,10
3534,15,5
13283,3,9
4693,19,1
7064,23,11
7834,22,2
4030,28,5
2742,14,5
1416,17,12
17350,18,10
1797,8,6
561,1,5
17489,21,11
5008,24,7
6670,28,9
5712,21,5
14932,21,12
4350,1,6
14520,23,8
5853,4,2
6543,28,2
9566,27,12
11576,8,12
12279,24,10
13813,25,5
11918,18,10
21092,14,3
23169,7,2
4374,29,1
1184,5,3
6547,6,4
5704,16,4
9359,1,12
5104,29,3
12440,26,11
7063,8,12
11174,7,7
8343,15,2
5334,4,1
12435,15,2
6391,17,5
6096,13,11
2147,19,8
11656,7,12
5255,27,7
6100,9,1
4705,7,4
389,15,11
9455,16,8
2976,28,9
18238,6,6
12931,16,10
5890,25,10
14037,24,6
15655,29,5
4749,15,11
16286,9,1
2977,2,4
17864,30,11
14478,5,4
4748,7,9
16734,30,4
965,3,10
4789,26,6
21729,28,2
9745,26,4
23201,9,6
20934,6,11
5419,27,12
21215,20,10
11737,13,11
3493,22,9
8758,24,10
3463,26,8
7228,7,6
535,20,5
14436,5,11
8282,25,4
1027,8,9
4572,22,5
263,9,8
15141,16,10
14368,14,11
6707,17,10
10432,5,3
13630,13,7
12175,24,10
2298,6,4
3617,20,9
5061,22,2
5043,8,10
5041,3,2
307,30,4
7892,13,12
478,8,8
5399,27,6
3365,14,6
16160,13,7
16162,16,7
4960,18,7
9214,9,8
5090,17,8
11785,9,11
3728,30,12
3623,18,9
1559,20,4
7125,24,8
22586,28,2
2287,27,8
5915,28,2
21915,28,9
13868,25,9
2921,9,7
489,4,5
1568,13,3
6940,15,12
9652,23,9
8835,31,10
374,12,9
18236,12,10
7044,26,1
17657,19,4
17895,8,5
4775,13,12
14473,1,11
11840,16,1
17554,6,5
12691,14,5
12611,25,1
21411,17,11
8286,16,11
19293,27,3
3913,3,5
912,2,4
21672,1,12
12425,6,2
9508,21,5
5653,4,9
2836,28,6
17817,17,9
868,6,4
6778,24,9
7233,8,11
2694,31,8
9992,8,9
10736,22,8
6593,31,5
13357,23,6
6152,20,4
18087,11,4
8543,3,10
6154,11,6
6938,28,9
33342,21,9
8069,18,10
14620,24,2
14417,19,1
8736,4,8
7659,16,4
5048,24,7
21454,19,9
12545,7,5
21453,29,8
11229,14,11
18893,19,5
14721,5,2
11065,9,5
8556,24,5
14722,24,8
9993,2,7
20320,20,8
4351,20,9
2674,25,12
11914,20,3
18873,31,10
5628,23,4
5423,10,10
18874,7,4
7713,10,10
4176,24,6
